project_name,|D|,len,gtf,df,sdf,term,weight1,weight1 * gtf,weight2
appreviews,341,1,2,1,1,comics ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,3,2,1,1,fill the screen ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,1,1,pages ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,1,1,performance ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,2,2,bigger ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,20 ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,comes ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,3,2,2,impossible ,2.2317243833285163,6.695173149985549,2.2317243833285163
appreviews,341,3,2,1,1,impossible to use ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,1,1,pivot ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,9,1,1,controller ,2.5327543789924976,22.794789410932477,2.5327543789924976
appreviews,341,1,3,2,2,eats ,2.2317243833285163,6.695173149985549,2.2317243833285163
appreviews,341,1,2,2,2,confusing ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,1,1,bubble ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,2,2,improvement ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,standard ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,updating ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,1,1,sunrise ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,4,1,1,alarm ,2.5327543789924976,10.13101751596999,2.5327543789924976
appreviews,341,1,2,2,2,whenever ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,part ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,1,1,japanese ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,1,1,calories ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,3,1,1,livejournal ,2.5327543789924976,7.598263136977493,2.5327543789924976
appreviews,341,1,2,2,2,period ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,controls ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,functionality ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,3,3,3,moment ,2.0556331242728354,6.166899372818506,2.0556331242728354
appreviews,341,1,3,1,1,calculator ,2.5327543789924976,7.598263136977493,2.5327543789924976
appreviews,341,1,3,2,2,copy ,2.2317243833285163,6.695173149985549,2.2317243833285163
appreviews,341,1,2,2,2,security ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,4,2,2,sd ,2.2317243833285163,8.926897533314065,2.2317243833285163
appreviews,341,2,2,1,1,sd cards ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,1,1,tablets ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,2,2,2,hd ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,1,1,comixology ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,1,3,3,3,move ,2.0556331242728354,6.166899372818506,2.0556331242728354
appreviews,341,2,2,2,3,move to ,2.0556331242728354,4.111266248545671,1.879541865217154
appreviews,341,1,2,2,2,photos ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,functions ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,3,3,3,save ,2.0556331242728354,6.166899372818506,2.0556331242728354
appreviews,341,3,2,2,2,save to sd ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,bet ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,lacking ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,reloads ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,2,2,2,ps4 ,2.2317243833285163,4.463448766657033,2.2317243833285163
appreviews,341,1,3,1,1,filters ,2.5327543789924976,7.598263136977493,2.5327543789924976
appreviews,341,1,14,13,13,should ,1.4188110266856608,19.86335437359925,1.4188110266856608
appreviews,341,2,8,7,7,should add ,1.6876563389782409,13.501250711825927,1.6876563389782409
appreviews,341,3,2,1,1,should add more ,2.5327543789924976,5.065508757984995,2.5327543789924976
appreviews,341,3,4,4,6,should add a ,1.7546031286088541,7.018412514435417,1.5785118695531728
